Nombre;ubicacion;tematica;anio;palabraclave;Latitud;Longitud;link;descripcion;usuario
Estudio Impacto Económico del Puerto de Barcelona;Barcelona;economia;2021;Puerto, economía, impacto;41.3797;2.1913;https://elmercantil.com/2021/03/10/el-puerto-de-barcelona-incorpora-nuevas-variables-a-su-estudio-de-impacto-economico/;Estudio sobre el impacto económico del Puerto de Barcelona, incluyendo el valor añadido y su contribución al PIB y empleo en la región.;admin
Informe sobre el valor catastral en Barcelona;Barcelona;economia;2021;Valor catastral, IBI, Propiedades;41.3795;2.1943;https://www.gestoriabarcelona.com/2022/12/que-es-el-valor-catastral/;Explicación sobre cómo se calcula el valor catastral en Barcelona y su uso en el Impuesto sobre Bienes Inmuebles (IBI).;admin
Estudio sobre el Catastro de Barcelona;Barcelona;urbanismo;2022;Catastro, Propiedades, Barcelona;41.3776;2.1915;https://www.barcelona.cat/infobarcelona/es/tema/ciencia/un-nuevo-centro-de-investigacion-del-csic-se-ubicara-en-la-calle-del-doctor-trueta_1330549.html;Análisis sobre el sistema catastral en Barcelona y la gestión de propiedades, junto con las implicaciones fiscales relacionadas.;admin
Crecimiento económico de Barcelona;barcelona;economia;2024;PIB, Crecimiento, Desarrollo económico;41.3818;2.1914;https://www.barcelona.cat/internationalwelcome/es/noticias/la-economia-de-barcelona-acelera-su-evolucion-con-un-crecimiento-interanual-del-pib-1464031;;admin
Zonas aparcamiento. Barcelona de Serveis Municipals (B:SM);Barcelona;social;2025;aparcamiento, zonas verdes, zonas azules, residentes, autocares, DUM, motos, parquimetros, tarifas;41.4152;2.1866;https://areaverda.cat/es/plano;AREA se implantó en Barcelona en mayo de 2005. Es un sistema de ordenación integral del estacionamiento en la calzada en que todo el espacio de aparcamiento dentro de la zona de regulación se distribuye de acuerdo con unas prioridades y se regula a través de unas normas y unas tarifas.adeu;;urbanismo;;;41.3797;2.1913;http://localhost:5173/#/center/2.2117,41.3857/zoom/13.9;
CaixaForum;Barcelona;social;2011;;41.37225900743991;2.149548841226402;https://professional.barcelonaturisme.com/storage/medias/files/Yylg0N6TeMuNt2RNn79V64FiaAVVzP3RwrbcIz19.pdf;CaixaForum Barcelona is a social and cultural centre, a window on the world of art that allows its visitors to enjoy top-level temporary exhibitions free of charge. The complex, which is just off Plaça d’Espanya, is housed inside a masterpiece of modernista industrial architecture: the former Casaramona textile mill. In addition to 3,000 m2 of exhibition space, it offers a wide range of activities for young and old alike, one of the highlights being music. Summer concerts and concert seasons in the spring and autumn are just some examples. You’ll also find a selection of works from the “La Caixa” Foundation Contemporary Art Collection, which spans the mid-1980s to the present day. a multipurpose auditorium, seating 350 people; the Arts Laboratory, an educational space for families; the Mediatheque, with its extensive digitised holdings; and the CaixaForum lobby designed by the Japanese architect, Arata Izosaki. Its location, at the foot of Montjuïc Hill and with a Barcelona Bus Turístic stop just outside, its modernista terraces, where you can take a break, and its restaurant, with its affordable prices and fun themed menus, help bring culture and art to all. Every year, 1,300,000 people visit CaixaForum, 15% of them tourists.;admin
Colonia Güell;Barcelona;social;2012;guell, gaudi, güell;41.362652472177665;2.0316084257396465;https://professional.barcelonaturisme.com/storage/medias/files/nbaFZ7JGKREmBsG36dHMp98fq1rWMZm3c4YioBij.pdf;A peaceful oasis, in the heart of the countryside but just 15 minutes from the centre of Barcelona by public transport, conceals one of the most important jewels of modernista architecture: the Colònia Güell.;admin
Fàbrica Moritz;Barcelona;social;2012;;41.38290734584386;2.163319996315195;https://professional.barcelonaturisme.com/storage/medias/files/Dts0a06n84IhsQrrUxLcdFhEv8HohW8kEGNH5Jbt.pdf;El equilibrio perfecto entre la tradición de un excelente apellido cervecero autóctono y la apuesta por un moderno proyecto gastronómico, artístico y cultural abierto a toda la ciudadanía. Un encuentro entre la Barcelona del pasado y la del futuro. Esta es la esencia, los valores y el savoir faire de la Fábrica Moritz Barcelona (FMB), que reabrió sus puertas en noviembre de 2011 como culminación del proyecto de relanzamiento de Moritz, de cuya rehabilitación y diseño se encargó Jean Nouvel, arquitecto francés padre de la Torre Agbar. El imperio cervecero, situado en medio de la ronda de Sant Antoni, entre los números 39 y 43, recuperó de esta manera el espacio industrial y fabril que fue sede de la empresa entre 1864, año en que su fundador, Louis Moritz, la compró, y 1978.;admin
Poble Espanyol;Barcelona;social;2007;;41.36929671704171;2.1467418973925003;https://professional.barcelonaturisme.com/storage/medias/files/8N3EHVZyjHX3SP50bnGopu9OLboJAzC472SQm7RY.pdf;El Poble Espanyol, de 49.000 metros cuadrados, es como un juego de muñecas rusas: cuando abrimos una, encontramos otra en su interior. Y es que, al estar rodeado de murallas, es en sí mismo un gran monumento que guarda en su interior cien monumentos más. Eso le convierte en uno de los más grandes museos al aire libre.;admin
Writing to the Right People: the Letters Sent by Barcelona during the Catalan Civil War;Barcelona;social;2019;;41.38160326317451;2.169082608904541;https://digital.csic.es/handle/10261/206476;Between 1462 and 1472 Catalonia lived its most hectic period during the 15th century: the conflict against its king, John II of Aragon, which is historically known as the Catalan Civil War. During those years Barcelona’s City Council was one of the institutions which led the way of the rebels, and this was a huge responsibility. However, the main city of Catalonia was kind of used to that: Barcelona was seen as the mother of all other Catalan cities, and its commands were closely listened to. In the Historical Archive of the City of Barcelona (ACHB) are preserved all the letters that the Council sent and received during those years.;admin
Co-production of urban climate planning: Insights from the Barcelona Climate Plan;Barcelona;ambiental;2020;;41.40671825823875;2.194514526224205;https://www.sciencedirect.com/science/article/pii/S026427512031235X?via%3Dihub=#!;Climate policy co-production represents an emerging institutional arrangement promising to better and fairly involve societal actors in resilience policy-making. Little evidence exists, however, on how climate policy co-production is understood, planned and performed in cities. This article sheds light on these co-production processes through an in-depth analysis of the case study of the Barcelona Climate Plan.;admin
